,Audit_Risk,CONTROL_RISK,Detection_Risk,District_Loss,History,Inherent_Risk,LOCATION_ID,Money_Value,PARA_A,PARA_B,PROB,Prob,RiSk_E,Risk,Risk_A,Risk_B,Risk_C,Risk_D,Risk_F,Score,Score_A,Score_B,Score_B.1,Score_MV,Sector_score,TOTAL,numbers
Risk_A,0.22158111725638713,0.1507776807571429,,0.12737205477455188,0.12113232453077241,0.48329089139544296,0.008850496794583362,0.4487026574024498,0.9992667776515964,0.16528714348450596,0.0437345507103813,0.17615865136142425,0.11864050345275867,0.3850665936089705,1.0,0.1651428586055847,0.1427083924791969,0.4479128729162192,0.10656128371155728,0.4325053689918786,0.504878227281906,0.3629713901734764,0.14310251328259835,0.2907512009895195,-0.21902465122015555,0.27022253366034843,0.1356125904884856
Risk_B,0.8875700145287984,0.18640931998942137,,0.08312939168000007,0.20282281419860185,0.654504707753065,-0.04003897803016476,0.12506883464832735,0.16183427306039835,0.9999355114543272,0.0428754001568424,0.3163750477130281,0.07973079798473771,0.2552861246117134,0.1651428586055847,1.0,0.22274200875591818,0.12471667080343778,0.19529236124467478,0.39694719876649226,0.2481877299031232,0.3481521544363155,0.2305470131543981,0.3130889169004224,-0.130589405099701,0.9940226633224692,0.2095960018264163
Risk_C,0.25002526392101887,0.25157152320548337,,0.14624184949903976,0.22068628532468781,0.300643736589349,-0.12006364221303595,0.21531409842805663,0.14045513185954886,0.22305426790744884,0.03621640008592632,0.23772327506096608,0.15470567966904913,0.3421404819079661,0.1427083924791969,0.22274200875591818,1.0,0.21565380456906302,0.21884690097737577,0.5519210235483241,0.26598278420096105,0.3030093563988356,0.9904116559667694,0.49299541774112093,-0.16646405556246008,0.2306974408579321,0.9553035801266048
Risk_D,0.33418414823581755,0.06958486340248803,,0.028496204451491376,0.07983910554231431,0.8295255625463542,-0.03660879298134264,0.9999363608008397,0.44855514672262264,0.12467091562313479,0.03191349412537083,0.1114868914234735,0.033272092551826185,0.25435452998977953,0.4479128729162192,0.12471667080343778,0.21565380456906302,1.0,0.06956961944947915,0.28948425161237007,0.2036784321018668,0.20217370662585776,0.22064093005460717,0.39104690374079526,-0.11616354673451051,0.16823251553907193,0.1865683899819495
Risk_F,0.32775023173393275,0.7608624003790754,,0.07068625751801398,0.9919874111663664,0.1730986094586849,-0.018931445176230185,0.06969059322605681,0.10398056152458683,0.19604844050561523,0.1060354022234582,0.8156107064415038,0.1117068681363184,0.21451078428719708,0.10656128371155728,0.19529236124467478,0.21884690097737577,0.06956961944947915,1.0,0.29360254286643356,0.15092478745558738,0.17127054611554296,0.22334314352365278,0.21697206868508573,-0.10322289310526073,0.20215913662830337,0.20238530973510446
Score,0.33299275591920807,0.3567405497056619,,0.210529575601497,0.3261525907109285,0.46492120485855143,-0.10987394918913714,0.29181004978405917,0.42665885806084536,0.3971548118181797,0.16772137108000307,0.4433948824893891,0.23700777810547474,0.7859952584905177,0.4325053689918786,0.39694719876649226,0.5519210235483241,0.28948425161237007,0.29360254286643356,1.0,0.7204883733548593,0.9012764127434322,0.5659764312521223,0.758326828464744,-0.33732597760744515,0.4338277251357479,0.5028266326639177
Score_A,0.20184693316925792,0.17087201899152246,,0.08866225808206378,0.1779316675612306,0.32092042902929163,-0.033345849956097386,0.20613087178926645,0.4966797311935785,0.24943817743091895,0.09364752492786557,0.2653219797263799,0.10267710198938378,0.6197255412547725,0.504878227281906,0.2481877299031232,0.26598278420096105,0.2036784321018668,0.15092478745558738,0.7204883733548593,1.0,0.5726554729677104,0.27459447679773624,0.4788756229718951,-0.42519797227566375,0.29754724090554774,0.24269199834053834
Score_B,0.20797542192599727,0.127826936225214,,-0.004654390589076156,0.20084094272685843,0.3656621532363644,-0.11514828416092397,0.20513934484712698,0.35855021992052977,0.34756822066159754,0.0925665265329254,0.30950469955628984,0.015324467426502479,0.6357682035755707,0.3629713901734764,0.3481521544363155,0.3030093563988356,0.20217370662585776,0.17127054611554296,0.9012764127434322,0.5726554729677104,1.0,0.31379784221263085,0.5675913939918369,-0.21896684568114352,0.37933567117311195,0.2775762456138848
Score_B.1,0.25973663694912696,0.25655113969998083,,0.1503686263539529,0.22617730178800002,0.30854337354763856,-0.11859534166006042,0.2203484794157589,0.1406478617658561,0.23085084167691045,0.03689891239456453,0.24842285375566556,0.1575947616777177,0.35380264359076424,0.14310251328259835,0.2305470131543981,0.9904116559667694,0.22064093005460717,0.22334314352365278,0.5659764312521223,0.27459447679773624,0.31379784221263085,1.0,0.5072484465892133,-0.17040414826229489,0.23823682903666168,0.9081396282881523
Score_MV,0.29172151334071156,0.2174545200669944,,0.08109788685515062,0.24688078443570768,0.4823749219757526,-0.16351936681906465,0.39137333229060317,0.2859908734952964,0.3145477840137701,0.12992092596830976,0.3347138105036312,0.10443422457527261,0.688367421240124,0.2907512009895195,0.3130889169004224,0.49299541774112093,0.39104690374079526,0.21697206868508573,0.758326828464744,0.4788756229718951,0.5675913939918369,0.5072484465892133,1.0,-0.31891006745871825,0.33746715342731853,0.4466661073265286
Sector_score,-0.09195379477317632,-0.15494966745004046,,-0.10820213854391762,-0.11479758331336638,-0.17327761345495754,0.006108557839089917,-0.11758932507691287,-0.21682369837822107,-0.13266997534333286,-0.0867503645888853,-0.1369001014026133,-0.12854635722676847,-0.3941308935322904,-0.21902465122015555,-0.130589405099701,-0.16646405556246008,-0.11616354673451051,-0.10322289310526073,-0.33732597760744515,-0.42519797227566375,-0.21896684568114352,-0.17040414826229489,-0.31891006745871825,1.0,-0.15331643502577844,-0.1518396846360562
TOTAL,0.8880964563623326,0.19731912018105432,,0.09334152454937772,0.21075237628697335,0.689772293020015,-0.03806872561284774,0.16866915536992047,0.26704233395136495,0.9941004657259394,0.04647050289536149,0.32639622503678445,0.08920403061734133,0.2920215655436221,0.27022253366034843,0.9940226633224692,0.2306974408579321,0.16823251553907193,0.20215913662830337,0.4338277251357479,0.29754724090554774,0.37933567117311195,0.23823682903666168,0.33746715342731853,-0.15331643502577844,1.0,0.21764147937461595
numbers,0.221460865118658,0.22865679057781355,,0.12501005003557722,0.20232712458069632,0.2711152294407817,-0.122833155769124,0.18618780118622522,0.13378610641848435,0.20985541293625745,0.035807377613588764,0.2095982276310398,0.13695605211744602,0.30814088543086865,0.1356125904884856,0.2095960018264163,0.9553035801266048,0.1865683899819495,0.20238530973510446,0.5028266326639177,0.24269199834053834,0.2775762456138848,0.9081396282881523,0.4466661073265286,-0.1518396846360562,0.21764147937461595,1.0
