NodeNumber,ThreadNumber,SpatialDistribution,TemporalDistribution,TR,ProcessorUtilization ,ChannelWaitingTime,InputWaitingTime,NetworkResponseTime,ChannelUtilization
64,10,HR,Client-Server,0,6,0,591505,456,956177
64,10,HR,Client-Server,0,7,0,521848,689,914368
64,10,HR,Client-Server,0,8,0,490651,834,243164
64,10,HR,Client-Server,0,9,0,452518,974,687012
64,10,HR,Client-Server,1,0,41892,1099,184082,141
64,4,BR,Client-Server,0,1,0,905039,2,64371
64,4,BR,Client-Server,0,2,0,900025,10,150197
64,4,BR,Client-Server,0,3,0,883719,27,690582
64,4,BR,Client-Server,0,4,0,853155,63,448967
64,4,BR,Client-Server,0,5,0,81232,118,239517
64,4,BR,Client-Server,0,6,0,749235,183,529724
64,4,BR,Client-Server,0,7,0,675295,253,750458
64,4,BR,Client-Server,0,8,0,605546,326,512787
64,4,BR,Client-Server,0,9,0,543298,397,394623
64,4,BR,Client-Server,1,0,491761,463,621521,43
64,6,BR,Client-Server,0,1,0,9375,2,221174
64,6,BR,Client-Server,0,2,0,935522,11,598482
64,6,BR,Client-Server,0,3,0,922333,33,815647
64,6,BR,Client-Server,0,4,0,915624,87,285263
64,6,BR,Client-Server,0,5,0,870269,201,725983
64,6,BR,Client-Server,0,6,0,796469,349,786835
64,6,BR,Client-Server,0,7,0,703475,491,681183
64,6,BR,Client-Server,0,8,0,622974,616,168579
64,6,BR,Client-Server,0,9,0,554223,733,769775
64,6,BR,Client-Server,1,0,500716,840,99243,54
64,8,BR,Client-Server,0,1,0,948599,2,236039
64,8,BR,Client-Server,0,2,0,947834,11,946494
64,8,BR,Client-Server,0,3,0,937209,36,190128
64,8,BR,Client-Server,0,4,0,9347,104,912659
64,8,BR,Client-Server,0,5,0,908685,278,916565
64,8,BR,Client-Server,0,6,0,96125,536,66925
64,8,BR,Client-Server,0,7,0,973316,739,287598
64,8,BR,Client-Server,0,8,0,977292,911,85968
64,8,BR,Client-Server,0,9,0,97836,1062,74292
64,8,BR,Client-Server,1,0,978299,1206,503906,70
64,10,BR,Client-Server,0,1,0,95829,2,279548
64,10,BR,Client-Server,0,2,0,944783,11,98399
64,10,BR,Client-Server,0,3,0,947848,37,191639
64,10,BR,Client-Server,0,4,0,942199,107,564377
64,10,BR,Client-Server,0,5,0,928141,337,949127
64,10,BR,Client-Server,0,6,0,828573,626,390198
64,10,BR,Client-Server,0,7,0,720587,833,389587
64,10,BR,Client-Server,0,8,0,636664,992,94165
64,10,BR,Client-Server,0,9,0,567883,1148,794189
64,10,BR,Client-Server,1,0,513848,1307,5127,88
64,4,PS,Client-Server,0,1,0,828573,1,934532
64,4,PS,Client-Server,0,2,0,824084,9,5502
64,4,PS,Client-Server,0,3,0,795685,26,33913
64,4,PS,Client-Server,0,4,0,739597,56,360073
64,4,PS,Client-Server,0,5,0,695053,126,209816
64,4,PS,Client-Server,0,6,0,62477,203,292633
64,4,PS,Client-Server,0,7,0,541929,287,763733
64,4,PS,Client-Server,0,8,0,487871,351,338531
64,4,PS,Client-Server,0,9,0,43976,420,470581
64,4,PS,Client-Server,1,0,400416,500,4944,77
64,6,PS,Client-Server,0,1,0,927886,2,25691
64,6,PS,Client-Server,0,2,0,914674,11,221832
64,6,PS,Client-Server,0,3,0,897633,34,58432
64,6,PS,Client-Server,0,4,0,867957,83,233231
64,6,PS,Client-Server,0,5,0,80322,190,616913
64,6,PS,Client-Server,0,6,0,715007,335,887207
64,6,PS,Client-Server,0,7,0,637811,448,49762
64,6,PS,Client-Server,0,8,0,561209,594,423401
64,6,PS,Client-Server,0,9,0,503471,688,62207
64,6,PS,Client-Server,1,0,460363,792,786804,115
64,8,PS,Client-Server,0,1,0,94723,2,302593
64,8,PS,Client-Server,0,2,0,936275,11,752433
64,8,PS,Client-Server,0,3,0,938896,37,560291
64,8,PS,Client-Server,0,4,0,916288,98,944687
64,8,PS,Client-Server,0,5,0,863297,255,613998
64,8,PS,Client-Server,0,6,0,771295,458,623169
64,8,PS,Client-Server,0,7,0,680886,664,535339
64,8,PS,Client-Server,0,8,0,606569,826,57782
64,8,PS,Client-Server,0,9,0,538424,999,4895
64,8,PS,Client-Server,1,0,492775,1135,979736,125
64,10,PS,Client-Server,0,1,0,956543,2,329191
64,10,PS,Client-Server,0,2,0,964797,12,197474
64,10,PS,Client-Server,0,3,0,958799,38,7793
64,10,PS,Client-Server,0,4,0,833681,104,889626
64,10,PS,Client-Server,0,5,0,90626,279,355682
64,10,PS,Client-Server,0,6,0,799148,535,853882
64,10,PS,Client-Server,0,7,0,705812,745,923279
64,10,PS,Client-Server,0,8,0,628214,898,211548
64,10,PS,Client-Server,0,9,0,561943,1053,160522
64,10,PS,Client-Server,1,0,509802,1211,382568,147
64,4,UN,Asynchronous,0,1,0,816425,1,899652
64,4,UN,Asynchronous,0,2,0,802371,9,239443
64,4,UN,Asynchronous,0,3,0,77942,26,343061
64,4,UN,Asynchronous,0,4,0,731806,61,675339
64,4,UN,Asynchronous,0,5,0,681066,122,838882
64,4,UN,Asynchronous,0,6,0,624804,207,630569
64,4,UN,Asynchronous,0,7,0,560888,285,684875
64,4,UN,Asynchronous,0,8,0,484743,380,17151
64,4,UN,Asynchronous,0,9,0,448374,447,772125
64,4,UN,Asynchronous,1,0,404992,524,617188,67
64,6,UN,Asynchronous,0,1,0,849913,2,62736
64,6,UN,Asynchronous,0,2,0,874955,10,711858
64,6,UN,Asynchronous,0,3,0,850958,32,423492
64,6,UN,Asynchronous,0,4,0,791423,83,810753
64,6,UN,Asynchronous,0,5,0,786026,190,786957
64,6,UN,Asynchronous,0,6,0,710901,199,974614
64,6,UN,Asynchronous,0,7,0,611163,503,520325
64,6,UN,Asynchronous,0,8,0,539734,638,689331
64,6,UN,Asynchronous,0,9,0,491085,744,496521
64,6,UN,Asynchronous,1,0,443039,857,977722,86
64,8,UN,Asynchronous,0,1,0,896803,2,195465
64,8,UN,Asynchronous,0,2,0,89971,11,211035
64,8,UN,Asynchronous,0,3,0,888416,35,185795
64,8,UN,Asynchronous,0,4,0,887363,103,991623
64,8,UN,Asynchronous,0,5,0,83289,269,960358
64,8,UN,Asynchronous,0,6,0,744839,511,700409
64,8,UN,Asynchronous,0,7,0,663184,710,60181
64,8,UN,Asynchronous,0,8,0,584847,884,266846
64,8,UN,Asynchronous,0,9,0,519696,1044,152344
64,8,UN,Asynchronous,1,0,47054,1199,370728,102
64,10,UN,Asynchronous,0,1,0,914353,2,140482
64,10,UN,Asynchronous,0,2,0,910044,11,266356
64,10,UN,Asynchronous,0,3,0,915063,36,400436
64,10,UN,Asynchronous,0,4,0,805937,101,311462
64,10,UN,Asynchronous,0,5,0,8794,295,776855
64,10,UN,Asynchronous,0,6,0,776228,548,18188
64,10,UN,Asynchronous,0,7,0,682158,767,490173
64,10,UN,Asynchronous,0,8,0,604104,939,929688
64,10,UN,Asynchronous,0,9,0,539017,1105,541992
64,10,UN,Asynchronous,1,0,489624,1251,231445,126
64,4,HR,Asynchronous,0,1,0,418621,0,950721
64,4,HR,Asynchronous,0,2,0,414236,4,682868
64,4,HR,Asynchronous,0,3,0,393893,12,673223
64,4,HR,Asynchronous,0,4,0,380225,33,187843
64,4,HR,Asynchronous,0,5,0,341765,122,90625
64,4,HR,Asynchronous,0,6,0,318841,262,651215
64,4,HR,Asynchronous,0,7,0,268535,373,700378
64,4,HR,Asynchronous,0,8,0,242966,439,287231
64,4,HR,Asynchronous,0,9,0,221539,506,213196
64,4,HR,Asynchronous,1,0,202377,602,795288,60
64,6,HR,Asynchronous,0,1,0,452819,1,78156
64,6,HR,Asynchronous,0,2,0,416491,4,814028
64,6,HR,Asynchronous,0,3,0,40539,14,149101
64,6,HR,Asynchronous,0,4,0,398521,36,513699
64,6,HR,Asynchronous,0,5,0,397512,156,48096
64,6,HR,Asynchronous,0,6,0,347587,380,817383
64,6,HR,Asynchronous,0,7,0,324751,504,747375
64,6,HR,Asynchronous,0,8,0,268258,660,401001
64,6,HR,Asynchronous,0,9,0,254752,812,112305
64,6,HR,Asynchronous,1,0,230011,915,25818,93
64,8,HR,Asynchronous,0,1,0,526524,1,231869
64,8,HR,Asynchronous,0,2,0,473054,5,644928
64,8,HR,Asynchronous,0,3,0,447295,14,823047
64,8,HR,Asynchronous,0,4,0,439256,41,55265
64,8,HR,Asynchronous,0,5,0,445936,162,783722
64,8,HR,Asynchronous,0,6,0,371522,497,685699
64,8,HR,Asynchronous,0,7,0,332085,675,931763
64,8,HR,Asynchronous,0,8,0,290999,863,256653
64,8,HR,Asynchronous,0,9,0,282314,996,663574
64,8,HR,Asynchronous,1,0,255619,1158,224731,157
64,10,HR,Asynchronous,0,1,0,503035,1,196131
64,10,HR,Asynchronous,0,2,0,482426,5,792946
64,10,HR,Asynchronous,0,3,0,479445,17,800585
64,10,HR,Asynchronous,0,4,0,484361,47,390614
64,10,HR,Asynchronous,0,5,0,426271,162,10405
64,10,HR,Asynchronous,0,6,0,406267,424,684723
64,10,HR,Asynchronous,0,7,0,365252,615,394104
64,10,HR,Asynchronous,0,8,0,338151,832,63324
64,10,HR,Asynchronous,0,9,0,305455,988,797302
64,10,HR,Asynchronous,1,0,286714,1154,155518,194
64,4,BR,Asynchronous,0,1,0,590286,1,474199
64,4,BR,Asynchronous,0,2,0,570239,6,385164
64,4,BR,Asynchronous,0,3,0,54004,16,750683
64,4,BR,Asynchronous,0,4,0,530152,37,607037
64,4,BR,Asynchronous,0,5,0,517356,98,631683
64,4,BR,Asynchronous,0,6,0,464993,241,5065
64,4,BR,Asynchronous,0,7,0,412242,355,984772
64,4,BR,Asynchronous,0,8,0,365082,439,582275
64,4,BR,Asynchronous,0,9,0,330783,516,230347
64,4,BR,Asynchronous,1,0,300045,583,544617,33
64,6,BR,Asynchronous,0,1,0,648118,1,745482
64,6,BR,Asynchronous,0,2,0,623425,7,612763
64,6,BR,Asynchronous,0,3,0,590987,20,255486
64,6,BR,Asynchronous,0,4,0,537327,45,311146
64,6,BR,Asynchronous,0,5,0,560995,170,806641
64,6,BR,Asynchronous,0,6,0,485852,377,750397
64,6,BR,Asynchronous,0,7,0,427971,537,255859
64,6,BR,Asynchronous,0,8,0,381173,680,231445
64,6,BR,Asynchronous,0,9,0,346758,823,323486
64,6,BR,Asynchronous,1,0,318419,897,971619,75
64,8,BR,Asynchronous,0,1,0,706503,1,912839
64,8,BR,Asynchronous,0,2,0,652849,8,527907
64,8,BR,Asynchronous,0,3,0,604986,22,941246
64,8,BR,Asynchronous,0,4,0,578066,54,552902
64,8,BR,Asynchronous,0,5,0,567715,215,921051
64,8,BR,Asynchronous,0,6,0,501516,485,607819
64,8,BR,Asynchronous,0,7,0,446351,748,391968
64,8,BR,Asynchronous,0,8,0,398993,945,257813
64,8,BR,Asynchronous,0,9,0,356831,1100,739502
64,8,BR,Asynchronous,1,0,329844,1262,165771,78
64,10,BR,Asynchronous,0,1,0,727582,1,930754
64,10,BR,Asynchronous,0,2,0,6822,8,784504
64,10,BR,Asynchronous,0,3,0,625697,23,825163
64,10,BR,Asynchronous,0,4,0,61155,59,21846
64,10,BR,Asynchronous,0,5,0,574306,173,637634
64,10,BR,Asynchronous,0,6,0,51484,523,96191
64,10,BR,Asynchronous,0,7,0,452304,786,126831
64,10,BR,Asynchronous,0,8,0,410658,996,17639
64,10,BR,Asynchronous,0,9,0,372704,1144,733521
64,10,BR,Asynchronous,1,0,346742,1297,879517,123
64,4,PS,Asynchronous,0,1,0,787703,1,803502
64,4,PS,Asynchronous,0,2,0,77177,8,760285
64,4,PS,Asynchronous,0,3,0,75457,24,96559
64,4,PS,Asynchronous,0,4,0,720497,54,264687
64,4,PS,Asynchronous,0,5,0,673265,98,535614
64,4,PS,Asynchronous,0,6,0,600602,164,131485
64,4,PS,Asynchronous,0,7,0,521786,258,612244
64,4,PS,Asynchronous,0,8,0,476747,320,643372
64,4,PS,Asynchronous,0,9,0,431657,398,550964
64,4,PS,Asynchronous,1,0,397266,452,322357,76
64,6,PS,Asynchronous,0,1,0,877179,2,101553
64,6,PS,Asynchronous,0,2,0,851833,10,140016
64,6,PS,Asynchronous,0,3,0,877377,32,558105
64,6,PS,Asynchronous,0,4,0,835567,76,65834
64,6,PS,Asynchronous,0,5,0,781463,310,95978
64,6,PS,Asynchronous,0,6,0,715298,371,66571
64,6,PS,Asynchronous,0,7,0,63048,412,371552
64,6,PS,Asynchronous,0,8,0,566405,541,182068
64,6,PS,Asynchronous,0,9,0,50749,656,648621
64,6,PS,Asynchronous,1,0,462423,750,842773,106
64,8,PS,Asynchronous,0,1,0,915108,2,167838
64,8,PS,Asynchronous,0,2,0,918623,11,410483
64,8,PS,Asynchronous,0,3,0,898435,34,909355
64,8,PS,Asynchronous,0,4,0,90209,95,616432
64,8,PS,Asynchronous,0,5,0,859304,229,198608
64,8,PS,Asynchronous,0,6,0,767585,450,834259
64,8,PS,Asynchronous,0,7,0,671155,603,29236
64,8,PS,Asynchronous,0,8,0,601854,793,640015
64,8,PS,Asynchronous,0,9,0,539759,951,538147
64,8,PS,Asynchronous,1,0,486748,1087,726685,126
64,10,PS,Asynchronous,0,1,0,930484,2,192356
64,10,PS,Asynchronous,0,2,0,942199,12,14284
64,10,PS,Asynchronous,0,3,0,941612,36,644043
64,10,PS,Asynchronous,0,4,0,927346,105,939613
64,10,PS,Asynchronous,0,5,0,888311,274,691742
64,10,PS,Asynchronous,0,6,0,797411,512,345947
64,10,PS,Asynchronous,0,7,0,706503,725,963135
64,10,PS,Asynchronous,0,8,0,627709,885,104004
64,10,PS,Asynchronous,0,9,0,560011,1040,495117
64,10,PS,Asynchronous,1,0,50823,1180,58472,160
16,4,UN,Client-Server,0,1,0,837166,2,4246
16,4,UN,Client-Server,0,2,0,799354,9,472887
16,4,UN,Client-Server,0,3,0,852871,29,294453
16,4,UN,Client-Server,0,4,0,763965,66,187737
16,4,UN,Client-Server,0,5,0,729444,133,6058
16,4,UN,Client-Server,0,6,0,625584,202,418213
16,4,UN,Client-Server,0,7,0,560313,281,745117
16,4,UN,Client-Server,0,8,0,531492,349,288635
16,4,UN,Client-Server,0,9,0,476232,411,124512
16,4,UN,Client-Server,1,0,423975,498,134125,64
16,6,UN,Client-Server,0,1,0,914756,2,220169
16,6,UN,Client-Server,0,2,0,91516,11,93018
16,6,UN,Client-Server,0,3,0,904898,35,288231
16,6,UN,Client-Server,0,4,0,861362,86,183983
16,6,UN,Client-Server,0,5,0,792027,218,846512
16,6,UN,Client-Server,0,6,0,705315,362,37619
16,6,UN,Client-Server,0,7,0,637113,494,74469
16,6,UN,Client-Server,0,8,0,565409,620,136169
16,6,UN,Client-Server,0,9,0,505995,746,678711
16,6,UN,Client-Server,1,0,455567,849,864807,86
16,8,UN,Client-Server,0,1,0,90698,2,27336
16,8,UN,Client-Server,0,2,0,919247,11,414202
16,8,UN,Client-Server,0,3,0,923054,35,754356
16,8,UN,Client-Server,0,4,0,907902,105,284363
16,8,UN,Client-Server,0,5,0,845062,274,173981
16,8,UN,Client-Server,0,6,0,733655,525,180847
16,8,UN,Client-Server,0,7,0,661952,689,955933
16,8,UN,Client-Server,0,8,0,586487,887,138184
16,8,UN,Client-Server,0,9,0,541788,1026,908203
16,8,UN,Client-Server,1,0,490409,1176,928711,114
16,10,UN,Client-Server,0,1,0,955848,2,391438
16,10,UN,Client-Server,0,2,0,935056,11,377554
16,10,UN,Client-Server,0,3,0,932695,37,361408
16,10,UN,Client-Server,0,4,0,915236,118,756714
16,10,UN,Client-Server,0,5,0,882814,313,291901
16,10,UN,Client-Server,0,6,0,771937,565,769348
16,10,UN,Client-Server,0,7,0,687306,745,52948
16,10,UN,Client-Server,0,8,0,617007,946,430603
16,10,UN,Client-Server,0,9,0,551504,1103,527954
16,10,UN,Client-Server,1,0,503592,1264,407837,128
16,4,HR,Client-Server,0,1,0,622777,1,424685
16,4,HR,Client-Server,0,2,0,714232,7,784738
16,4,HR,Client-Server,0,3,0,563058,17,237011
16,4,HR,Client-Server,0,4,0,61408,47,139942
16,4,HR,Client-Server,0,5,0,58883,129,407547
16,4,HR,Client-Server,0,6,0,531492,1627,330246
16,4,HR,Client-Server,0,7,0,475336,323,723724
16,4,HR,Client-Server,0,8,0,413104,392,275299
16,4,HR,Client-Server,0,9,0,361952,473,47699
16,4,HR,Client-Server,1,0,335961,549,21851,59
16,6,HR,Client-Server,0,1,0,793967,1,854915
16,6,HR,Client-Server,0,2,0,779392,9,595086
16,6,HR,Client-Server,0,3,0,771373,26,96712
16,6,HR,Client-Server,0,4,0,737937,71,482933
16,6,HR,Client-Server,0,5,0,649532,185,400986
16,6,HR,Client-Server,0,6,0,580466,420,417145
16,6,HR,Client-Server,0,7,0,546245,518,351929
16,6,HR,Client-Server,0,8,0,493581,663,640259
16,6,HR,Client-Server,0,9,0,427316,777,911072
16,6,HR,Client-Server,1,0,407034,874,560791,82
16,8,HR,Client-Server,0,1,0,788644,1,7672
16,8,HR,Client-Server,0,2,0,8471,10,156638
16,8,HR,Client-Server,0,3,0,796617,29,106882
16,8,HR,Client-Server,0,4,0,787135,67,76693
16,8,HR,Client-Server,0,5,0,752581,212,689209
16,8,HR,Client-Server,0,6,0,686232,520,65125
16,8,HR,Client-Server,0,7,0,556637,736,940674
16,8,HR,Client-Server,0,8,0,533445,887,897278
16,8,HR,Client-Server,0,9,0,470176,1066,175171
16,8,HR,Client-Server,1,0,436457,1211,93335,107
16,10,HR,Client-Server,0,1,0,849374,1,980331
16,10,HR,Client-Server,0,2,0,853076,10,2187
16,10,HR,Client-Server,0,3,0,85156,30,706835
16,10,HR,Client-Server,0,4,0,805596,78,206543
16,10,HR,Client-Server,0,5,0,79196,221,464294
16,10,HR,Client-Server,0,6,0,638244,537,422058
16,10,HR,Client-Server,0,7,0,622735,761,577026
16,10,HR,Client-Server,0,8,0,553766,928,661072
16,10,HR,Client-Server,0,9,0,489242,1075,117432
16,10,HR,Client-Server,1,0,477834,1217,886597,136
16,4,BR,Client-Server,0,1,0,88365,1,921418
16,4,BR,Client-Server,0,2,0,860418,9,29508
16,4,BR,Client-Server,0,3,0,843287,27,243357
16,4,BR,Client-Server,0,4,0,832914,61,148876
16,4,BR,Client-Server,0,5,0,7821,111,845444
16,4,BR,Client-Server,0,6,0,714232,189,958618
16,4,BR,Client-Server,0,7,0,647217,268,578033
16,4,BR,Client-Server,0,8,0,581954,339,456268
16,4,BR,Client-Server,0,9,0,527778,408,526337
16,4,BR,Client-Server,1,0,480408,471,786499,46
16,6,BR,Client-Server,0,1,0,908802,2,134946
16,6,BR,Client-Server,0,2,0,90698,10,394992
16,6,BR,Client-Server,0,3,0,896247,30,655106
16,6,BR,Client-Server,0,4,0,880803,84,361443
16,6,BR,Client-Server,0,5,0,843151,204,702072
16,6,BR,Client-Server,0,6,0,755583,369,789307
16,6,BR,Client-Server,0,7,0,671474,510,915802
16,6,BR,Client-Server,0,8,0,600924,626,10022
16,6,BR,Client-Server,0,9,0,539897,738,934143
16,6,BR,Client-Server,1,0,490711,839,243652,63
16,8,BR,Client-Server,0,1,0,908662,2,93968
16,8,BR,Client-Server,0,2,0,916754,10,831274
16,8,BR,Client-Server,0,3,0,914468,35,75058
16,8,BR,Client-Server,0,4,0,923701,103,896408
16,8,BR,Client-Server,0,5,0,86701,300,255798
16,8,BR,Client-Server,0,6,0,781098,555,305237
16,8,BR,Client-Server,0,7,0,684499,748,928955
16,8,BR,Client-Server,0,8,0,610051,902,59436
16,8,BR,Client-Server,0,9,0,548603,1062,911255
16,8,BR,Client-Server,1,0,498233,1201,908813,81
16,10,BR,Client-Server,0,1,0,940461,2,86331
16,10,BR,Client-Server,0,2,0,902923,10,837634
16,10,BR,Client-Server,0,3,0,908622,33,603893
16,10,BR,Client-Server,0,4,0,902704,91,781967
16,10,BR,Client-Server,0,5,0,888585,328,355347
16,10,BR,Client-Server,0,6,0,789,601,244873
16,10,BR,Client-Server,0,7,0,694901,830,786377
16,10,BR,Client-Server,0,8,0,618812,975,618347
16,10,BR,Client-Server,0,9,0,555489,1142,917725
16,10,BR,Client-Server,1,0,505846,1286,25415,103
16,4,PS,Client-Server,0,1,0,86733,2,44179
16,4,PS,Client-Server,0,2,0,840152,10,14529
16,4,PS,Client-Server,0,3,0,824914,30,322653
16,4,PS,Client-Server,0,4,0,75785,58,60265
16,4,PS,Client-Server,0,5,0,714316,123,17624
16,4,PS,Client-Server,0,6,0,632461,214,452255
16,4,PS,Client-Server,0,7,0,551504,278,491974
16,4,PS,Client-Server,0,8,0,49651,364,986053
16,4,PS,Client-Server,0,9,0,452939,425,249847
16,4,PS,Client-Server,1,0,420933,483,833649,87
16,6,PS,Client-Server,0,1,0,936473,2,227537
16,6,PS,Client-Server,0,2,0,900764,10,88244
16,6,PS,Client-Server,0,3,0,90722,33,936623
16,6,PS,Client-Server,0,4,0,862785,94,348297
16,6,PS,Client-Server,0,5,0,807842,179,849548
16,6,PS,Client-Server,0,6,0,701786,374,583313
16,6,PS,Client-Server,0,7,0,639351,490,504761
16,6,PS,Client-Server,0,8,0,573968,603,130981
16,6,PS,Client-Server,0,9,0,511543,715,827026
16,6,PS,Client-Server,1,0,47255,830,844727,89
16,8,PS,Client-Server,0,1,0,9513,2,314414
16,8,PS,Client-Server,0,2,0,936808,11,713354
16,8,PS,Client-Server,0,3,0,931204,36,626431
16,8,PS,Client-Server,0,4,0,937835,102,300987
16,8,PS,Client-Server,0,5,0,864236,306,522491
16,8,PS,Client-Server,0,6,0,780074,497,36142
16,8,PS,Client-Server,0,7,0,687981,681,90576
16,8,PS,Client-Server,0,8,0,61379,845,246582
16,8,PS,Client-Server,0,9,0,549407,1007,446472
16,8,PS,Client-Server,1,0,50007,1151,877319,120
16,10,PS,Client-Server,0,1,0,974802,2,351146
16,10,PS,Client-Server,0,2,0,980224,12,150679
16,10,PS,Client-Server,0,3,0,971452,40,7254
16,10,PS,Client-Server,0,4,0,948199,106,190559
16,10,PS,Client-Server,0,5,0,909553,295,415222
16,10,PS,Client-Server,0,6,0,806512,553,938843
16,10,PS,Client-Server,0,7,0,703002,755,845886
16,10,PS,Client-Server,0,8,0,635748,928,996765
16,10,PS,Client-Server,0,9,0,574563,1072,681763
16,10,PS,Client-Server,1,0,510356,1226,546875,135
16,4,UN,Asynchronous,0,1,0,805631,1,942182
16,4,UN,Asynchronous,0,2,0,711402,8,758454
16,4,UN,Asynchronous,0,3,0,764771,27,745926
16,4,UN,Asynchronous,0,4,0,714662,61,134068
16,4,UN,Asynchronous,0,5,0,702304,126,200226
16,4,UN,Asynchronous,0,6,0,625735,208,140411
16,4,UN,Asynchronous,0,7,0,567802,277,625092
16,4,UN,Asynchronous,0,8,0,495292,364,442078
16,4,UN,Asynchronous,0,9,0,470201,421,35217
16,4,UN,Asynchronous,1,0,416087,499,487244,81
16,6,UN,Asynchronous,0,1,0,898346,2,169365
16,6,UN,Asynchronous,0,2,0,834869,10,44451
16,6,UN,Asynchronous,0,3,0,884136,34,631821
16,6,UN,Asynchronous,0,4,0,81023,445,18668
16,6,UN,Asynchronous,0,5,0,762009,215,162201
16,6,UN,Asynchronous,0,6,0,690723,373,463867
16,6,UN,Asynchronous,0,7,0,599696,509,8172
16,6,UN,Asynchronous,0,8,0,506488,666,255615
16,6,UN,Asynchronous,0,9,0,491041,747,157043
16,6,UN,Asynchronous,1,0,456873,835,229004,94
16,8,UN,Asynchronous,0,1,0,895793,2,181244
16,8,UN,Asynchronous,0,2,0,917185,11,909069
16,8,UN,Asynchronous,0,3,0,896828,36,4375
